ctr,tokens,tokens_price,name
207,309,4.017e-05,C:\Root\nimue\data\email\ingest-processed\600abbb8cf32700e20ee7df7df0e11c5.txt
208,237,3.0810000000000005e-05,C:\Root\nimue\data\email\ingest-processed\60583c8ccf991c06c2cc57c4d9e3c607.txt
209,854,0.00011102,C:\Root\nimue\data\email\ingest-processed\617232ad7ed851249f7284818cc3aad7.txt
210,780,0.00010140000000000001,C:\Root\nimue\data\email\ingest-processed\61beb404ba491e590359f6b990ff0e7b.txt
211,2416,0.00031408,C:\Root\nimue\data\email\ingest-processed\62cd12850fe92e803254eb093b8217da.txt
212,237,3.0810000000000005e-05,C:\Root\nimue\data\email\ingest-processed\62faddd79a1cb6adf52923a6de87dfed.txt
213,739,9.607000000000001e-05,C:\Root\nimue\data\email\ingest-processed\635fa7096d85a7b709e340272d8b0c6e.txt
214,160,2.08e-05,C:\Root\nimue\data\email\ingest-processed\6363c4f57766cb8b201c80ba37815e63.txt
215,353,4.589e-05,C:\Root\nimue\data\email\ingest-processed\6490cf9615c061e313555873f5afc755.txt
216,1712,0.00022256,C:\Root\nimue\data\email\ingest-processed\64b46583415bf8e47db88c089b51ec8b.txt
217,451,5.863e-05,C:\Root\nimue\data\email\ingest-processed\6556d18b97189900114bc778296a747f.txt
218,402,5.2260000000000004e-05,C:\Root\nimue\data\email\ingest-processed\65a4d7a4b84c75ca2bf85cd6b198120d.txt
219,185,2.4050000000000002e-05,C:\Root\nimue\data\email\ingest-processed\65ad0ce03793bd72b8afe7495af639f1.txt
220,154,2.0019999999999998e-05,C:\Root\nimue\data\email\ingest-processed\664196cf83d7b6d218d1a987e2e28598.txt
221,100,1.3e-05,C:\Root\nimue\data\email\ingest-processed\6758dd98863147809566d7f72df5527e.txt
222,443,5.759e-05,C:\Root\nimue\data\email\ingest-processed\692f0e026e074a4d66e945a569d1928a.txt
223,315,4.0950000000000006e-05,C:\Root\nimue\data\email\ingest-processed\695a28103f9a9dbab7b5f78ce5ce4163.txt
224,391,5.083e-05,C:\Root\nimue\data\email\ingest-processed\698cebf8585f22cc3fbe30127ad9bdb7.txt
225,1018,0.00013234,C:\Root\nimue\data\email\ingest-processed\6a24dc8d809cf69d93cf25ea96ffe340.txt
226,1169,0.00015197,C:\Root\nimue\data\email\ingest-processed\6a75c77c9af1e6e1282637db7b38c676.txt
227,444,5.7719999999999996e-05,C:\Root\nimue\data\email\ingest-processed\6acce0ed3d7fd82f082cc40d527705bc.txt
228,296,3.8480000000000004e-05,C:\Root\nimue\data\email\ingest-processed\6b309d37e71b270275ed32586ca372a7.txt
229,1879,0.00024427,C:\Root\nimue\data\email\ingest-processed\6bb69909407340545026410248a8cbd6.txt
230,1015,0.00013195,C:\Root\nimue\data\email\ingest-processed\6bc80a6fc8aef650c4c05932ecf093ad.txt
231,1188,0.00015444,C:\Root\nimue\data\email\ingest-processed\6c4123150a71ffa134384e2c2b8da37f.txt
232,488,6.344e-05,C:\Root\nimue\data\email\ingest-processed\6c774f2fdc2c6e37c9210ab5d327ced3.txt
233,551,7.162999999999999e-05,C:\Root\nimue\data\email\ingest-processed\6cab8f4345ad09a22274177b072e77e1.txt
234,2632,0.00034216000000000004,C:\Root\nimue\data\email\ingest-processed\6d04a4e76a4905efa02934f4b39f580b.txt
235,141,1.8330000000000002e-05,C:\Root\nimue\data\email\ingest-processed\6d6afce89413203feb7b5bc6f7a45173.txt
236,139,1.807e-05,C:\Root\nimue\data\email\ingest-processed\6d8acbfc07d777bd434ddf2b11442b9e.txt
237,1039,0.00013507,C:\Root\nimue\data\email\ingest-processed\6e532823b15c51b93cfc7b5763df476b.txt
238,122,1.586e-05,C:\Root\nimue\data\email\ingest-processed\6e9369dfacfc39e8de2b08cc6d2b5c63.txt
239,907,0.00011791000000000001,C:\Root\nimue\data\email\ingest-processed\6f78bc179e0d19075ec6cdabb9dd1c5e.txt
